epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2777.28,0.4239,0.26885,0.85544,0.88311,0.92281,0.93546,0.79352,1.08528,0.51161,1.39226,0.000643101,0.000643101,0.000643101
43,2843.12,0.41942,0.26684,0.85501,0.88516,0.92577,0.93581,0.7943,1.0853,0.51853,1.39356,0.000628101,0.000628101,0.000628101
44,2908.78,0.41328,0.26323,0.85275,0.89098,0.92259,0.93592,0.79549,1.08114,0.51613,1.39336,0.000612981,0.000612981,0.000612981
45,2974.53,0.41312,0.26209,0.85314,0.89803,0.91742,0.93543,0.79488,1.08096,0.51618,1.39621,0.000597754,0.000597754,0.000597754
46,3040.06,0.40903,0.25762,0.85151,0.89496,0.92296,0.93619,0.79496,1.08054,0.5166,1.39631,0.000582435,0.000582435,0.000582435
47,3105.81,0.40417,0.25463,0.84959,0.89543,0.92379,0.93704,0.79583,1.08095,0.51604,1.39877,0.00056704,0.00056704,0.00056704
48,3171.45,0.40169,0.25497,0.84891,0.88897,0.9318,0.93656,0.7961,1.08134,0.51907,1.40225,0.000551584,0.000551584,0.000551584
49,3237.44,0.38951,0.24717,0.84509,0.88853,0.92864,0.93543,0.79552,1.08067,0.52187,1.40517,0.000536081,0.000536081,0.000536081
50,3303.14,0.39014,0.24841,0.84609,0.8896,0.92631,0.9371,0.79545,1.08083,0.51965,1.40884,0.000520548,0.000520548,0.000520548
51,3368.68,0.38386,0.24399,0.8436,0.88772,0.92688,0.93745,0.79694,1.08214,0.52311,1.41306,0.000505,0.000505,0.000505
52,3434.36,0.38165,0.24228,0.84176,0.89052,0.92747,0.93758,0.79652,1.08344,0.52514,1.41794,0.000489452,0.000489452,0.000489452
53,3500.02,0.37703,0.24005,0.84243,0.89176,0.9267,0.93721,0.79739,1.08318,0.52422,1.42024,0.000473919,0.000473919,0.000473919
54,3565.87,0.37292,0.23863,0.84132,0.88946,0.92778,0.93668,0.79693,1.08434,0.5257,1.42263,0.000458416,0.000458416,0.000458416
55,3631.64,0.3663,0.23461,0.83845,0.89267,0.92067,0.93679,0.79719,1.08424,0.52531,1.42486,0.00044296,0.00044296,0.00044296
56,3697.34,0.36201,0.23144,0.83657,0.89381,0.9195,0.93697,0.79737,1.08528,0.52547,1.42948,0.000427565,0.000427565,0.000427565
57,3762.96,0.35749,0.22871,0.8369,0.89368,0.92175,0.93684,0.79696,1.08455,0.52625,1.43099,0.000412246,0.000412246,0.000412246
58,3828.7,0.35332,0.22597,0.83421,0.89482,0.92424,0.93721,0.79749,1.08418,0.52647,1.43286,0.000397019,0.000397019,0.000397019
59,3894.36,0.35112,0.22524,0.83426,0.89417,0.92486,0.93675,0.79754,1.08381,0.52668,1.43398,0.000381899,0.000381899,0.000381899
60,3960.09,0.34919,0.22426,0.83336,0.89013,0.9248,0.93668,0.79811,1.08323,0.52781,1.43542,0.000366899,0.000366899,0.000366899
61,4025.85,0.34638,0.22254,0.83248,0.88965,0.92431,0.93712,0.79855,1.08291,0.52759,1.43663,0.000352037,0.000352037,0.000352037
62,4091.47,0.3419,0.21979,0.83155,0.88768,0.92456,0.93691,0.79821,1.08268,0.52843,1.43802,0.000337325,0.000337325,0.000337325
63,4157.1,0.34109,0.21798,0.83161,0.88759,0.92536,0.93721,0.79919,1.08242,0.52853,1.43908,0.000322778,0.000322778,0.000322778
64,4222.8,0.33521,0.21735,0.82968,0.88821,0.92431,0.93749,0.79937,1.08226,0.52819,1.44012,0.000308412,0.000308412,0.000308412
65,4288.61,0.33302,0.21445,0.82952,0.89125,0.92393,0.9375,0.79918,1.08241,0.52866,1.44137,0.000294239,0.000294239,0.000294239
66,4354.38,0.32931,0.21199,0.82985,0.89151,0.92389,0.93627,0.79843,1.08263,0.52954,1.44298,0.000280275,0.000280275,0.000280275
67,4419.95,0.3259,0.21029,0.82778,0.89159,0.92391,0.93579,0.79753,1.08236,0.53013,1.44388,0.000266532,0.000266532,0.000266532
68,4485.68,0.32201,0.20665,0.82657,0.89171,0.92397,0.93544,0.79734,1.08243,0.53067,1.44568,0.000253024,0.000253024,0.000253024
69,4551.15,0.31962,0.20544,0.82687,0.89189,0.92377,0.93643,0.7985,1.08245,0.53094,1.44659,0.000239766,0.000239766,0.000239766
70,4616.73,0.31569,0.20485,0.82486,0.89228,0.92374,0.93653,0.7981,1.08247,0.53228,1.44829,0.000226769,0.000226769,0.000226769
71,4682.35,0.3151,0.20325,0.8249,0.89258,0.92358,0.93674,0.7984,1.08216,0.53227,1.44973,0.000214046,0.000214046,0.000214046
72,4748.06,0.31129,0.20134,0.82399,0.89288,0.92347,0.93677,0.79851,1.08212,0.5331,1.45126,0.000201611,0.000201611,0.000201611
73,4813.58,0.31011,0.20071,0.8244,0.89245,0.9246,0.93676,0.7987,1.08207,0.53342,1.45254,0.000189475,0.000189475,0.000189475
74,4879.25,0.30748,0.19887,0.82229,0.89217,0.92447,0.93662,0.79859,1.08207,0.53491,1.45386,0.000177651,0.000177651,0.000177651
